owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Energy,Department of Energy,FY2017Q4,089-0309,"Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",Department of Energy,National Defense,Atomic energy defense activities,37178472.91,86975270.47,1872194033.47,0.0,0.0,892462.5,892462.5,1997240239.35,1931843591.01,86975270.47,65396648.34,1888812301.53,1997240239.35,2017-11-14
Department of Energy,Department of Energy,FY2017Q4,089-0312,"Cerro Grande Fire Activities, Energy",Department of Energy,National Defense,Atomic energy defense activities,3145573.4,-3145573.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-14
Department of Energy,Department of Energy,FY2017Q4,089-0313,"Federal Salaries and Expenses, National Nuclear Security Administration, Energy",Department of Energy,National Defense,Atomic energy defense activities,30004381.82,5073778.42,387366000.0,0.0,0.0,0.0,0.0,422444160.24,390574179.64,5072733.42,31869980.6,388655284.31,422444160.24,2017-11-14
Department of Energy,Department of Energy,FY2017Q4,089-0314,"Naval Reactors, National Nuclear Security Administration, Energy",Department of Energy,National Defense,Atomic energy defense activities,7517184.44,390101.41,1344917888.09,0.0,0.0,0.0,0.0,1352825173.94,1348137838.48,390101.41,4687335.46,1267249478.96,1352825173.94,2017-11-14
Selective Service System,Selective Service System,FY2017Q4,090-0400,"Salaries and Expenses, Selective Service System",Selective Service System,National Defense,Defense-related activities,2129691.5,-235744.37,22900000.0,0.0,0.0,370000.0,370000.0,25163947.13,23263158.55,282194.9,1900788.58,22930754.74,25163947.13,2017-11-15
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2017Q4,096-3130,"Formerly Utilized Sites Remedial Action Program, Corps of Engineers-Civil",Corps of Engineers - Civil Works,National Defense,Atomic energy defense activities,5499831.9,374059.72,112000000.0,0.0,0.0,7983331.82,7983331.82,125857223.44,121531561.03,374059.72,4325662.41,99751671.29,125857223.44,2018-05-04
Department of Defense,Department of Defense,FY2017Q4,097-0040,"Payments to Military Retirement Fund, Defense",Department of Defense,National Defense,Defense-related activities,0.0,0.0,81192000000.0,0.0,0.0,0.0,0.0,81192000000.0,81192000000.0,0.0,0.0,81192000000.0,81192000000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0041,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,0.0,0.0,6769323000.0,0.0,0.0,0.0,0.0,6769323000.0,6769323000.0,0.0,0.0,6769323000.0,6769323000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0100,"Operation and Maintenance, Defense-Wide, Defense",Department of Defense,National Defense,Department of Defense-Military,5023867154.41,2677509214.62,39994874431.0,0.0,0.0,2076536903.53,2076536903.53,49772787703.56,44053932784.71,3708749082.73,5718854918.85,40357681289.28,49772787703.56,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0104,"United States Court of Appeals for the Armed Forces, Defense",Department of Defense,National Defense,Department of Defense-Military,3130822.0,6717819.08,14194000.0,0.0,0.0,0.0,0.0,24042641.08,22081654.87,7031776.93,1960986.21,16852094.24,24042641.08,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0105,"Drug Interdiction and Counter-Drug Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,44266189.0,0.0,0.0,0.0,0.0,0.0,0.0,44266189.0,0.0,0.0,44266189.0,0.0,44266189.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0107,"Office of the Inspector General, Defense",Department of Defense,National Defense,Department of Defense-Military,43132482.36,2942567.98,329185000.0,0.0,0.0,5723271.74,5723271.74,380983322.08,339401049.15,8977760.39,41582272.93,331760307.52,380983322.08,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0111,"Department of Defense Acquisition Workforce Development Account, Defense",Department of Defense,National Defense,Department of Defense-Military,861878369.7,183438464.84,-531000000.0,0.0,0.0,-1295151.77,-1295151.77,513021682.77,448762587.05,61512143.14,64259095.72,468302184.22,513021682.77,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0118,"Overseas Contingency Operations Transfer Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,9972184.0,0.0,0.0,0.0,0.0,0.0,0.0,9972184.0,0.0,0.0,9972184.0,0.0,9972184.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0120,"Counter-Islamic State of Iraq and Levant Overseas Contingency Operations Transfer Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,0.0,0.0,1610000000.0,0.0,0.0,0.0,0.0,1610000000.0,0.0,0.0,1610000000.0,0.0,1610000000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0130,"Defense Health Program, Defense",Department of Defense,National Defense,Department of Defense-Military,4026140857.98,753155604.46,33863244600.0,0.0,0.0,3151842258.97,3151842258.97,41794383321.41,37354974248.0,1777775950.8,4439409073.41,34994937217.95,41794383321.41,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0134,"Cooperative Threat Reduction Account, Defense",Department of Defense,National Defense,Department of Defense-Military,76902002.92,4812211.29,325604000.0,0.0,0.0,1997187.21,1997187.21,409315401.42,328366237.8,14033947.16,80949163.62,342134524.09,409315401.42,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0144,"Mine Resistant Ambush Protected Vehicle Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,13854000.0,0.0,0.0,0.0,0.0,0.0,0.0,13854000.0,0.0,0.0,13854000.0,0.0,13854000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0145,"Counterterrorism Partnerships Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,678944227.0,-469062000.0,-200000000.0,0.0,0.0,0.0,0.0,9882227.0,0.0,0.0,9882227.0,0.0,9882227.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0300,"Procurement, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,1724726710.52,976769115.98,5777866000.0,0.0,0.0,206461908.85,206461908.85,8685823735.35,6111440919.35,1100897065.63,2574382816.0,4606356305.28,8685823735.35,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0350,"National Guard and Reserve Equipment Account, Defense",Department of Defense,National Defense,Department of Defense-Military,1551911028.08,54538654.36,750000000.0,0.0,0.0,0.0,0.0,2356449682.44,1133591090.53,71083592.05,1222858591.91,970896765.26,2356449682.44,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0360,"Defense Production Act Purchases, Defense",Department of Defense,National Defense,Department of Defense-Military,138605165.11,48354675.41,64065000.0,0.0,0.0,0.0,0.0,251024840.52,38703182.88,3354675.41,212321657.64,55352629.99,251024840.52,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0390,"Chemical Agents and Munitions Destruction, Defense",Department of Defense,National Defense,Department of Defense-Military,154898790.99,29835500.87,650726000.0,0.0,0.0,-10013380.13,-10013380.13,825446911.73,693044740.38,38815432.94,132402171.35,669291887.6,825446911.73,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,097-0391,"Chemical Demilitarization Construction, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,23267342.73,232569.21,0.0,0.0,0.0,0.0,0.0,23499911.94,401708.58,332916.95,23098203.36,5705427.46,23499911.94,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,3318303234.87,3101709937.77,19478043200.0,0.0,0.0,1153387849.25,1153387849.25,27051444221.89,22513626773.52,3363065187.35,4537817448.37,19965765271.95,27051444221.89,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0460,"Operational Test and Evaluation, Defense",Department of Defense,National Defense,Department of Defense-Military,26237298.65,8477518.97,188654000.0,0.0,0.0,0.0,0.0,223368817.62,190461009.57,10584811.61,32907808.05,177872844.13,223368817.62,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,097-0500,"Military Construction, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,4071322325.39,399685475.35,1858844000.0,0.0,0.0,353516.07,353516.07,6330205316.81,2523642159.0,420220259.5,3806563157.81,2181023024.85,6330205316.81,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0501,"Military Construction - Recovery Act, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,82023877.08,113.28,0.0,0.0,0.0,0.0,0.0,82023990.36,44069776.41,113.28,37954213.95,17919853.18,82023990.36,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0510,"Department of Defense Base Closure Account 1990, Defense",Department of Defense,National Defense,Department of Defense-Military,51045557.75,8352881.04,0.0,0.0,0.0,0.0,0.0,59398438.79,874663.75,8352881.04,58523775.04,24043215.27,59398438.79,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,097-0512,"Department of Defense Base Closure Account 2005, Defense",Department of Defense,National Defense,Department of Defense-Military,319141898.81,125088599.92,0.0,0.0,0.0,503527.31,503527.31,444734026.04,78959426.77,125088599.92,365774599.27,15385823.77,444734026.04,2018-08-03
Department of Defense,Department of Defense;Department of Transportation,FY2017Q4,097-0516,"Department of Defense Base Closure Account, Defense",Department of Defense,National Defense,Department of Defense-Military,314273622.4,29077007.55,240237000.0,0.0,0.0,53824257.03,53824257.03,637411886.98,414246865.16,29077007.55,223165021.82,447308307.95,637411886.98,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0760,"Family Housing Construction, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,20115.64,0.0,0.0,0.0,0.0,0.0,0.0,20115.64,0.0,0.0,20115.64,0.0,20115.64,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0765,"Family Housing Operation and Maintenance, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,12126486.44,960402.18,59157000.0,0.0,0.0,-81035.42,-81035.42,72162853.2,59451380.95,2807265.35,12711472.25,53258503.43,72162853.2,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0801,"Foreign Currency Fluctuations, Defense",Department of Defense,National Defense,Department of Defense-Military,969708000.0,0.0,0.0,0.0,0.0,0.0,0.0,969708000.0,0.0,0.0,969708000.0,0.0,969708000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0803,"Foreign Currency Fluctuations, Construction, Defense",Department of Defense,National Defense,Department of Defense-Military,709018.0,29782000.0,0.0,0.0,0.0,0.0,0.0,30491018.0,0.0,0.0,30491018.0,0.0,30491018.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0804,"North Atlantic Treaty Organization, Security Investment Program, Defense",Department of Defense,National Defense,Department of Defense-Military,262736747.33,211768316.16,147932000.0,0.0,0.0,0.0,0.0,622437063.49,307960182.49,211768316.16,314476881.0,107459982.07,622437063.49,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0810,"Environmental Restoration, Defense",Department of Defense,National Defense,Department of Defense-Military,605349.0,-605349.0,1253000.0,0.0,0.0,0.0,0.0,1253000.0,0.0,0.0,1253000.0,0.0,1253000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0811,"Environmental Restoration, Formerly Used Defense Sites, Defense",Department of Defense,National Defense,Department of Defense-Military,21000000.62,-21000000.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.62,0.0,0.62,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0819,"Overseas Humanitarian, Disaster, and Civic AID, Defense",Department of Defense,National Defense,Department of Defense-Military,609789411.9,21065125.28,123125000.0,0.0,0.0,160906.49,160906.49,754140443.67,108710828.7,29157883.75,645429614.97,103016001.31,754140443.67,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0833,"Defense Emergency Response Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,207587015.29,5583725.06,0.0,0.0,0.0,0.0,0.0,213170740.35,0.0,5583725.06,213170740.35,1748465.44,213170740.35,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0834,"Department of Defense Family Housing Improvement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,19506498.7,1535979.76,86774093.88,0.0,0.0,0.0,0.0,107816572.34,89497587.03,965.76,18318985.31,105485787.65,107816572.34,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0836,"Department of Defense Military Unaccompanied Housing Improvement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,9220.0,0.0,0.0,0.0,0.0,0.0,0.0,9220.0,0.0,0.0,9220.0,0.0,9220.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0838,"Support for International Sporting Competitions, Defense",Department of Defense,National Defense,Department of Defense-Military,8017437.72,226234.94,0.0,0.0,0.0,0.0,0.0,8243672.66,918560.01,226234.94,7325112.65,1261805.23,8243672.66,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-0850,Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund,Department of Defense,National Defense,Defense-related activities,0.0,0.0,5670000000.0,0.0,0.0,0.0,0.0,5670000000.0,5670000000.0,0.0,0.0,5670000000.0,5670000000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-2093,"Joint Improvised-Threat Defeat Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,0.0,0.0,339472000.0,0.0,0.0,0.0,0.0,339472000.0,309289596.06,0.0,30182403.94,43421937.45,339472000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-3999,"Consolidated Reporting for DOD Closed Accounts, Defense",Department of Defense,National Defense,Department of Defense-Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86548793.19,0.0,0.0,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4090,"Homeowners Assistance Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,89606269.83,777912.81,-25000000.0,0.0,0.0,3476194.87,3476194.87,68860377.51,3207910.62,777912.81,65652466.89,4015958.31,68860377.51,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4091,"Homeowners Assistance Fund - Recovery Act, Defense",Department of Defense,National Defense,Department of Defense-Military,778314.44,13596.6,0.0,0.0,0.0,0.0,0.0,791911.04,0.0,13596.6,791911.04,-12795.79,791911.04,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4555,"National Defense Stockpile Transaction Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,191064665.99,3261559.65,0.0,0.0,0.0,73375761.42,73375761.42,267701987.06,48885040.95,3261559.65,218816946.11,39722282.09,267701987.06,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4930,"Department of Defense Working Capital Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,10665100882.9,1117688173.44,1937927000.0,0.0,76540407235.62,49509380244.99,126049787480.61,139770503536.95,127954109148.95,10994235851.78,11816394388.0,111220214282.89,139770503536.95,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4931,"Building Maintenance Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,71457224.09,685414263.79,0.0,0.0,0.0,538000528.5,538000528.5,1294872016.38,1279740898.24,685414263.79,15131118.14,361232607.54,1294872016.38,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4950,Pentagon Reservation Maintenance Revolving Fund,Department of Defense,National Defense,Department of Defense-Military,90149362.37,739623642.9,0.0,0.0,0.0,979679240.38,979679240.38,1809452245.65,1759021642.15,739623642.9,50430603.5,535037103.39,1809452245.65,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-4965,"Emergency Response Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,11462230.88,0.0,0.0,0.0,0.0,0.0,0.0,11462230.88,0.0,0.0,11462230.88,0.0,11462230.88,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5187,"Defense Cooperation Account, Defense",Department of Defense,National Defense,Department of Defense-Military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5188,"Disposal of Department of Defense Real Property, Defense",Department of Defense,National Defense,Department of Defense-Military,54732555.4,483591.28,9809649.09,0.0,0.0,0.0,0.0,65025795.77,3151520.65,483591.28,61874275.12,6623334.92,65025795.77,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5189,"Lease of Department of Defense Real Property, Defense",Department of Defense,National Defense,Department of Defense-Military,161854404.02,3839525.73,31742941.27,0.0,0.0,0.0,0.0,197436871.02,23262285.27,3839525.73,174174585.75,24441176.69,197436871.02,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5193,"Department of Defense Overseas Military Facility Investment Recovery Account, Defense",Department of Defense,National Defense,Department of Defense-Military,1470646.54,8710.7,0.0,0.0,0.0,0.0,0.0,1479357.24,0.0,8710.7,1479357.24,564642.75,1479357.24,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5195,"Use of Proceeds from the Transfer or Disposition of Commissary Facilities, Defense",Department of Defense,National Defense,Department of Defense-Military,2467832.19,0.0,507595.0,0.0,0.0,0.0,0.0,2975427.19,0.0,0.0,2975427.19,20362.03,2975427.19,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5441,"Burden Sharing Contribution, Defense",Department of Defense,National Defense,Department of Defense-Military,752236667.59,0.0,611027731.59,0.0,0.0,0.0,0.0,1363264399.18,478835190.56,0.0,884429208.62,478835190.56,1363264399.18,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5613,"Mutually Beneficial Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,68785355.15,0.0,0.0,0.0,0.0,0.0,0.0,68785355.15,3532734.82,0.0,65252620.33,3532734.82,68785355.15,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5750,"Department of Defense Vietnam War Commemoration Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,13483081.25,825641.36,3047.85,0.0,0.0,0.0,0.0,14311770.46,1025327.58,825641.36,13286442.88,1677169.9,14311770.46,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5751,"Contributions to the Cooperative Threat Reduction Program, Defense",Department of Defense,National Defense,Department of Defense-Military,81924.96,0.0,3812579.0,0.0,0.0,0.0,0.0,3894503.96,1860832.0,0.0,2033671.96,2906834.32,3894503.96,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-5753,"Contributions for Renewable Energy Impact Assessments and Mitigation, Defense",Department of Defense,National Defense,Department of Defense-Military,4131020.0,0.0,750000.0,0.0,0.0,0.0,0.0,4881020.0,0.0,0.0,4881020.0,19022.6,4881020.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8163,"Department of Defense General Gift Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,6927837.27,0.0,123554.79,0.0,0.0,0.0,0.0,7051392.06,459019.39,0.0,6592372.67,432286.08,7051392.06,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8164,"Commissary Stores Surcharge Program, Defense",Department of Defense,National Defense,Department of Defense-Military,69985614.18,0.0,0.0,0.0,0.0,256352828.49,256352828.49,326338442.67,272901311.73,0.0,53437130.94,291999318.21,326338442.67,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8165,"Foreign National Employees Separation Pay Account, Defense",Department of Defense,National Defense,Department of Defense-Military,70178446.94,0.0,6612587.96,0.0,0.0,0.0,0.0,76791034.9,6755912.76,0.0,70035122.14,7250722.13,76791034.9,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8168,"National Security Education Trust Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,3894350.56,319625.41,0.0,0.0,0.0,0.0,0.0,4213975.97,3894000.0,378042.23,319975.97,594000.0,4213975.97,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8335,"Voluntary Separation Incentive Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,0.0,0.0,68507834.75,0.0,0.0,0.0,0.0,68507834.75,68507834.75,0.0,0.0,68940161.72,68507834.75,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8337,"Host Nation Support for U.S. Relocation Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,86738970.67,0.0,139821062.81,0.0,0.0,131791803.47,131791803.47,358351836.95,256835595.6,0.0,101516241.35,128462608.5,358351836.95,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,097-8358,"Support for U.S. Relocation to Guam Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,1081525623.22,0.0,242885926.45,0.0,0.0,0.0,0.0,1324411549.67,203543537.26,0.0,1120868012.41,29863734.69,1324411549.67,2018-08-03
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,FY2017Q4,347-3900,"Salaries and Expenses, Defense Nuclear Facilities Safety Board",Defense Nuclear Facilities Safety Board,National Defense,Atomic energy defense activities,6514680.1,1460176.48,30872000.0,0.0,0.0,0.0,0.0,38846856.58,30817238.23,1460176.48,8029618.35,30617799.61,38846856.58,2017-11-16
Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,FY2017Q4,535-2724,"Salaries and Expenses, Privacy and Civil Liberties Oversight Board",Privacy and Civil Liberties Oversight Board,National Defense,Defense-related activities,9688958.93,343375.39,10100000.0,0.0,0.0,0.0,0.0,20132334.32,8309397.83,343375.39,11822936.49,6614036.85,20132334.32,2017-11-15
Department of Justice,Department of Justice,FY2018Q4,015-0200,"Salaries and Expenses, Federal Bureau of Investigation, Justice",Department of Justice,National Defense,Defense-related activities,1556079230.77,181971034.08,8897055949.0,0.0,0.0,1084009279.61,1084009279.61,11719115493.46,10283182299.83,191490490.91,1435933193.63,9841532569.2,11719115493.46,2018-11-29
Department of Justice,Department of Justice,FY2018Q4,015-0333,"Payment to the Radiation Exposure Compensation Trust Fund, Justice",Department of Justice,National Defense,Defense-related activities,0.0,0.0,50000000.0,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,50000000.0,50000000.0,2018-11-29
Department of Justice,Department of Justice,FY2018Q4,015-8116,"Radiation Exposure Compensation Trust Fund, Justice",Department of Justice,National Defense,Defense-related activities,30637409.79,0.0,50000000.0,0.0,0.0,0.0,0.0,80637409.79,60199924.57,0.0,20437485.22,60191591.23,80637409.79,2018-11-29
Department of Labor,Department of Labor,FY2018Q4,016-1523,"Energy Employees Occupational Illness Compensation Fund, Labor",Department of Labor,National Defense,Atomic energy defense activities,0.0,0.0,1362654377.58,0.0,0.0,3755894.51,3755894.51,1366410272.09,1366410272.09,0.0,0.0,1362318423.67,1366410272.09,2018-11-01
Department of Labor,Department of Labor,FY2018Q4,016-1524,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",Department of Labor,National Defense,Atomic energy defense activities,3992132.86,1679808.38,124991593.33,0.0,0.0,0.0,0.0,130663534.57,128014391.91,1679808.38,2649142.66,117013811.3,130663534.57,2018-11-01
Department of Defense,Department of Defense,FY2018Q4,017-0380,"Coastal Defense Augmentation, Navy",Department of the Navy,National Defense,Department of Defense-Military,4410866.4,0.0,0.0,0.0,0.0,0.0,0.0,4410866.4,0.0,0.0,4410866.4,0.0,4410866.4,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-0730,"Family Housing Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,143918492.55,1978264.9,83682000.0,0.0,0.0,0.0,0.0,229578757.45,11693190.72,790354.52,217885566.73,28206901.2,229578757.45,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-0735,"Family Housing Operation and Maintenance, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,193285299.42,-282027.51,328282000.0,0.0,0.0,12495132.8,12495132.8,533780404.71,355687954.59,14975427.13,178092450.12,304893994.1,533780404.71,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-0810,"Environmental Restoration, Navy",Department of the Navy,National Defense,Department of Defense-Military,42597.16,471.83,0.0,0.0,0.0,0.0,0.0,43068.99,471.83,471.83,42597.16,0.0,43068.99,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1000,"Medicare-Eligible Retiree Health Fund Contribution, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,1577118000.0,0.0,0.0,0.0,0.0,1577118000.0,1577118000.0,0.0,0.0,1577118000.0,1577118000.0,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1001,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,902987000.0,0.0,0.0,0.0,0.0,902987000.0,902987000.0,0.0,0.0,902987000.0,902987000.0,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1002,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,143142000.0,0.0,0.0,0.0,0.0,143142000.0,143142000.0,0.0,0.0,143142000.0,143142000.0,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1003,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,81218000.0,0.0,0.0,0.0,0.0,81218000.0,81218000.0,0.0,0.0,81218000.0,81218000.0,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1105,"Military Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,571020454.46,-70259962.98,13213323000.0,0.0,0.0,27829422.5,27829422.5,13741912913.98,13335849983.51,175493700.09,406062930.47,12514212775.49,13741912913.98,2019-02-07
Department of Defense,Department of Defense;Department of Transportation,FY2018Q4,017-1106,"Operation and Maintenance, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,445871805.84,120840227.45,8141046838.0,0.0,0.0,274180610.37,274180610.37,8981939481.66,8693070790.03,394477248.98,288868691.63,7922064837.96,8981939481.66,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1107,"Operation and Maintenance, Marine Corps Reserve",Department of the Navy,National Defense,Department of Defense-Military,29107903.54,20280946.65,288359000.0,0.0,0.0,1490121.7,1490121.7,339237971.89,306753844.05,26864428.66,32484127.84,281083109.46,339237971.89,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1108,"Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,34554723.35,19092415.65,766258000.0,0.0,0.0,6280249.79,6280249.79,826185388.79,791387942.93,29040276.62,34797445.86,741486372.36,826185388.79,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1109,"Procurement, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,633172838.93,157928310.69,2019194000.0,0.0,0.0,18702.0,18702.0,2810313851.62,2264241863.54,215531647.76,546071988.08,1717423785.56,2810313851.62,2019-02-07
Department of Defense,Department of Defense;Department of Transportation,FY2018Q4,017-1205,"Military Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,2630823906.84,115780923.74,1990289000.0,0.0,0.0,653239082.57,653239082.57,5390132913.15,2321814055.08,172991594.41,3068318858.07,2145434247.23,5390132913.15,2019-02-07
Department of Defense,Department of Defense,FY2018Q4,017-1206,"Military Construction - Recovery Act, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,52771.52,-52771.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186678.96,0.0,5644.13,0.0,2019-02-07
